modelo,variavel,h,q16,q50,q84
K = 11,PIB real,55,-0.07106317683837843,0.09333275823345377,0.26652236984621447
K = 11,PIB real,56,-0.07120521192632806,0.0952468506907459,0.26859025783398127
K = 11,PIB real,57,-0.06987001866860997,0.09695023004296584,0.27061165552277755
K = 11,PIB real,58,-0.06376416480636277,0.09804620699225156,0.2726683789719383
K = 11,PIB real,59,-0.06339987688079005,0.09897027256772957,0.2745525282844515
K = 11,PIB real,60,-0.0638163765910765,0.09970192799471103,0.27618141509407984
K = 23,PIB real,0,-0.07691267425694916,0.023245429701843616,0.13014380408144566
K = 23,PIB real,1,-0.07869336935356766,0.004693033448710334,0.09891750002205864
K = 23,PIB real,2,-0.08368515002808677,0.005470183131115039,0.11068934776760471
K = 23,PIB real,3,-0.08992266249576107,0.007816759800531248,0.11505488463488137
K = 23,PIB real,4,-0.08711327617295614,0.00790538274177885,0.11540415558276047
K = 23,PIB real,5,-0.09197002498601148,0.012842281747722194,0.13120166504621758
K = 23,PIB real,6,-0.09064369528882302,0.017055392683063053,0.14995268767210707
K = 23,PIB real,7,-0.0806298467935604,0.02326053495878806,0.1663078742860552
K = 23,PIB real,8,-0.07020279357328488,0.03415196602685017,0.18843248644813537
